State,x_min,x_max,y_min,y_max,Confirmed
Alabama,-88.473227,-84.88908,30.223334,35.008028,1627670
Alaska,-179.148909,179.77847,51.214183,71.365162,305060
American Samoa,-171.089874,-168.1433,-14.548699,-11.046934,8320
Arizona,-114.81651,-109.045223,31.332177,37.00426,2404386
Arkansas,-94.617919,-89.644395,33.004106,36.4996,999358
California,-124.409591,-114.131211,32.534156,42.009518,12036125
Colorado,-109.060253,-102.041524,36.992426,41.003444,1751885
Commonwealth of the Northern Mariana Islands,144.886331,146.064818,14.110472,20.553802,0
Connecticut,-73.727775,-71.786994,40.980144,42.050587,970738
Delaware,-75.788658,-75.048939,38.451013,39.839007,327873
District of Columbia,-77.119759,-76.909395,38.791645,38.99511,176845
Florida,-87.634938,-80.031362,24.523096,31.000888,7483857
Georgia,-85.605165,-80.839729,30.357851,35.000659,3042823
Guam,144.618068,144.956712,13.234189,13.654383,60903
Hawaii,-178.334698,-154.806773,18.910361,28.402123,378481
Idaho,-117.243027,-111.043564,41.988057,49.001146,516578
Illinois,-91.513079,-87.494756,36.970298,42.508481,4040139
Indiana,-88.09776,-84.784579,37.771742,41.760592,2033879
Iowa,-96.639704,-90.140061,40.375501,43.501196,897136
Kansas,-102.051744,-94.588413,36.993016,40.003162,930463
Kentucky,-89.571509,-81.964971,36.497129,39.147458,1698146
Louisiana,-94.043147,-88.817017,28.928609,33.019457,1555480
Maine,-71.083924,-66.949895,42.977764,47.459686,313642
Maryland,-79.487651,-75.048939,37.911717,39.723043,1352861
Massachusetts,-73.508142,-69.928393,41.237964,42.886589,2206312
Michigan,-90.418136,-82.413474,41.696118,48.2388,3036304
Minnesota,-97.239209,-89.491739,43.499356,49.384358,1761893
Mississippi,-91.655009,-88.097888,30.173943,34.996052,981020
Missouri,-95.774704,-89.098843,35.995683,40.61364,1761270
Montana,-116.050003,-104.039138,44.358221,49.00139,327175
Nebraska,-104.053514,-95.30829,39.999998,43.001708,561712
Nevada,-120.005746,-114.039648,35.001857,42.002207,885416
New Hampshire,-72.557247,-70.610621,42.69699,45.305476,374983
New Jersey,-75.559614,-73.893979,38.928519,41.357423,3021244
New Mexico,-109.050173,-103.001964,31.332301,37.000232,666445
New York,-79.762152,-71.856214,40.496103,45.01585,6743571
North Carolina,-84.321869,-75.460621,33.842316,36.588117,3438259
North Dakota,-104.0489,-96.554507,45.935054,49.000574,284843
Ohio,-84.820159,-80.518693,38.403202,41.977523,3364860
Oklahoma,-103.002565,-94.430662,33.615833,37.002206,1278295
Oregon,-124.566244,-116.463504,41.991794,46.292035,954077
Pennsylvania,-80.519891,-74.689516,39.7198,42.26986,3490499
Puerto Rico,-67.945404,-65.220703,17.88328,18.515683,1090516
Rhode Island,-71.862772,-71.12057,41.146339,42.018798,457162
South Carolina,-83.35391,-78.54203,32.0346,35.215402,1818546
South Dakota,-104.057698,-96.436589,42.479635,45.94545,275672
Tennessee,-90.310298,-81.6469,34.982972,36.678118,2495950
Texas,-106.645646,-93.508292,25.837377,36.500704,8399403
United States Virgin Islands,-65.085452,-64.564907,17.673976,18.412655,0
Utah,-114.052962,-109.041058,36.997968,42.001567,1083959
Vermont,-73.43774,-71.464555,42.726853,45.016659,150985
Virginia,-83.675395,-75.242266,36.540738,39.466012,2269006
Washington,-124.763068,-116.915989,45.543541,49.002494,1915286
West Virginia,-82.644739,-77.719519,37.201483,40.638801,637100
Wisconsin,-92.888114,-86.805415,42.491983,47.080621,1989977
Wyoming,-111.056888,-104.05216,40.994746,45.005904,184251
